Name	Unit	Fastq1	Fastq2	Library
LNCaP_MTOR_ET	1	SRR5189295	-	Single
LNCaP_HOXB13_ET	1	SRR5238088	-	Single
LNCaP_HOXB13_ET	2	SRR5238090	-	Single
LNCaP_HOXB13_ET	3	SRR5238092	-	Single
LNCaP_SMARCA4_ET	1	SRR5238080	-	Single
LNCaP_SMARCA4_ET	2	SRR5238082	-	Single
LNCaP_TLE3_ET	1	SRR5238094	-	Single
LNCaP_TLE3_ET	2	SRR5238096	-	Single
LNCaP_TRIM28_ET	1	SRR5238098	-	Single
LNCaP_TRIM28_ET	2	SRR5238100	-	Single
LNCaP_WDHD1_ET	1	SRR5238102	-	Single
LNCaP_WDHD1_ET	2	SRR5238104	-	Single
